"Period","RSI_n","Stoch_K_n","Stoch_D_n","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",10,5,3,55292.726421647
"2000 - 2005 (Dot-Com Bust)",14,5,3,46468.8328996816
"2000 - 2005 (Dot-Com Bust)",16,5,3,134031.353460149
"2000 - 2005 (Dot-Com Bust)",20,5,3,143879.885981107
"2000 - 2005 (Dot-Com Bust)",10,7,3,73395.7914280435
"2000 - 2005 (Dot-Com Bust)",14,7,3,58676.6710683733
"2000 - 2005 (Dot-Com Bust)",16,7,3,148768.215535838
"2000 - 2005 (Dot-Com Bust)",20,7,3,141824.000560089
"2000 - 2005 (Dot-Com Bust)",10,10,3,73669.975062674
"2000 - 2005 (Dot-Com Bust)",14,10,3,75689.508096941
"2000 - 2005 (Dot-Com Bust)",16,10,3,156165.998602619
"2000 - 2005 (Dot-Com Bust)",20,10,3,141902.000474476
"2000 - 2005 (Dot-Com Bust)",10,14,3,57559.2363275596
"2000 - 2005 (Dot-Com Bust)",14,14,3,50050.6337318614
"2000 - 2005 (Dot-Com Bust)",16,14,3,139379.131114173
"2000 - 2005 (Dot-Com Bust)",20,14,3,132594.975844396
"2000 - 2005 (Dot-Com Bust)",10,5,5,64023.5427878052
"2000 - 2005 (Dot-Com Bust)",14,5,5,69698.7416185054
"2000 - 2005 (Dot-Com Bust)",16,5,5,132687.611141694
"2000 - 2005 (Dot-Com Bust)",20,5,5,144036.242872252
"2000 - 2005 (Dot-Com Bust)",10,7,5,72088.4143326482
"2000 - 2005 (Dot-Com Bust)",14,7,5,62682.0378582582
"2000 - 2005 (Dot-Com Bust)",16,7,5,130611.158088539
"2000 - 2005 (Dot-Com Bust)",20,7,5,140948.00050885
"2000 - 2005 (Dot-Com Bust)",10,10,5,50812.8733042014
"2000 - 2005 (Dot-Com Bust)",14,10,5,61827.6360039433
"2000 - 2005 (Dot-Com Bust)",16,10,5,121492.792630157
"2000 - 2005 (Dot-Com Bust)",20,10,5,127911.693578206
"2000 - 2005 (Dot-Com Bust)",10,14,5,50127.3119921157
"2000 - 2005 (Dot-Com Bust)",14,14,5,56181.4616179239
"2000 - 2005 (Dot-Com Bust)",16,14,5,146828.458214977
"2000 - 2005 (Dot-Com Bust)",20,14,5,137733.97304277
"2000 - 2005 (Dot-Com Bust)",10,5,7,69315.5506904703
"2000 - 2005 (Dot-Com Bust)",14,5,7,65927.5286596202
"2000 - 2005 (Dot-Com Bust)",16,5,7,152448.493513015
"2000 - 2005 (Dot-Com Bust)",20,5,7,139714.047447962
"2000 - 2005 (Dot-Com Bust)",10,7,7,59540.8477222026
"2000 - 2005 (Dot-Com Bust)",14,7,7,68340.1074569132
"2000 - 2005 (Dot-Com Bust)",16,7,7,158756.490527695
"2000 - 2005 (Dot-Com Bust)",20,7,7,131490.577171295
"2000 - 2005 (Dot-Com Bust)",10,10,7,55877.3377420756
"2000 - 2005 (Dot-Com Bust)",14,10,7,64232.3278992879
"2000 - 2005 (Dot-Com Bust)",16,10,7,143820.309224291
"2000 - 2005 (Dot-Com Bust)",20,10,7,127881.678069634
"2000 - 2005 (Dot-Com Bust)",10,14,7,58918.5720976421
"2000 - 2005 (Dot-Com Bust)",14,14,7,68084.6107143738
"2000 - 2005 (Dot-Com Bust)",16,14,7,131380.794477876
"2000 - 2005 (Dot-Com Bust)",20,14,7,132239.170681497
"2004 - 2009 (GFC)",10,5,3,75225.7558564472
"2004 - 2009 (GFC)",14,5,3,170619.684399628
"2004 - 2009 (GFC)",16,5,3,126768.713347864
"2004 - 2009 (GFC)",20,5,3,87879.019232149
"2004 - 2009 (GFC)",10,7,3,94425.2613774412
"2004 - 2009 (GFC)",14,7,3,209236.621647433
"2004 - 2009 (GFC)",16,7,3,172079.428018156
"2004 - 2009 (GFC)",20,7,3,91335.1247415471
"2004 - 2009 (GFC)",10,10,3,118595.45246908
"2004 - 2009 (GFC)",14,10,3,195898.746878085
"2004 - 2009 (GFC)",16,10,3,157665.685160971
"2004 - 2009 (GFC)",20,10,3,101913.573854355
"2004 - 2009 (GFC)",10,14,3,136977.259477942
"2004 - 2009 (GFC)",14,14,3,165580.497222059
"2004 - 2009 (GFC)",16,14,3,186806.283803123
"2004 - 2009 (GFC)",20,14,3,73441.1782862514
"2004 - 2009 (GFC)",10,5,5,109261.382438012
"2004 - 2009 (GFC)",14,5,5,172017.829685267
"2004 - 2009 (GFC)",16,5,5,141571.884339428
"2004 - 2009 (GFC)",20,5,5,86818.3577382147
"2004 - 2009 (GFC)",10,7,5,96986.2660753447
"2004 - 2009 (GFC)",14,7,5,189376.152153937
"2004 - 2009 (GFC)",16,7,5,122453.912136067
"2004 - 2009 (GFC)",20,7,5,79501.4700992894
"2004 - 2009 (GFC)",10,10,5,114263.560838845
"2004 - 2009 (GFC)",14,10,5,203445.457572096
"2004 - 2009 (GFC)",16,10,5,131047.224584299
"2004 - 2009 (GFC)",20,10,5,76377.4900103801
"2004 - 2009 (GFC)",10,14,5,118029.630722845
"2004 - 2009 (GFC)",14,14,5,206399.592416949
"2004 - 2009 (GFC)",16,14,5,139434.141270794
"2004 - 2009 (GFC)",20,14,5,82193.7238759101
"2004 - 2009 (GFC)",10,5,7,110038.145837531
"2004 - 2009 (GFC)",14,5,7,174080.216737747
"2004 - 2009 (GFC)",16,5,7,136813.688366096
"2004 - 2009 (GFC)",20,5,7,92875.1631936961
"2004 - 2009 (GFC)",10,7,7,102941.832159071
"2004 - 2009 (GFC)",14,7,7,205055.23555648
"2004 - 2009 (GFC)",16,7,7,132821.34239952
"2004 - 2009 (GFC)",20,7,7,93537.0508377081
"2004 - 2009 (GFC)",10,10,7,113782.557750646
"2004 - 2009 (GFC)",14,10,7,185147.39182014
"2004 - 2009 (GFC)",16,10,7,143792.126241914
"2004 - 2009 (GFC)",20,10,7,78014.9482892865
"2004 - 2009 (GFC)",10,14,7,122022.218683668
"2004 - 2009 (GFC)",14,14,7,167459.746447418
"2004 - 2009 (GFC)",16,14,7,136676.970340955
"2004 - 2009 (GFC)",20,14,7,82038.1891032452
"2008 - 2013 (Recovery)",10,5,3,138448.191027197
"2008 - 2013 (Recovery)",14,5,3,325709.153422863
"2008 - 2013 (Recovery)",16,5,3,106125.099313532
"2008 - 2013 (Recovery)",20,5,3,88823.3060463583
"2008 - 2013 (Recovery)",10,7,3,151625.123716069
"2008 - 2013 (Recovery)",14,7,3,292826.822793372
"2008 - 2013 (Recovery)",16,7,3,91936.3951447952
"2008 - 2013 (Recovery)",20,7,3,82997.0938334554
"2008 - 2013 (Recovery)",10,10,3,145497.549705157
"2008 - 2013 (Recovery)",14,10,3,358086.065595033
"2008 - 2013 (Recovery)",16,10,3,93701.0284251976
"2008 - 2013 (Recovery)",20,10,3,84666.4871248651
"2008 - 2013 (Recovery)",10,14,3,122727.816429449
"2008 - 2013 (Recovery)",14,14,3,348948.977883932
"2008 - 2013 (Recovery)",16,14,3,80552.7477571625
"2008 - 2013 (Recovery)",20,14,3,84651.1492150211
"2008 - 2013 (Recovery)",10,5,5,151831.498448525
"2008 - 2013 (Recovery)",14,5,5,290719.502090964
"2008 - 2013 (Recovery)",16,5,5,83654.1297649622
"2008 - 2013 (Recovery)",20,5,5,85744.380210219
"2008 - 2013 (Recovery)",10,7,5,128553.428238004
"2008 - 2013 (Recovery)",14,7,5,337432.036254192
"2008 - 2013 (Recovery)",16,7,5,90314.3814101911
"2008 - 2013 (Recovery)",20,7,5,80009.2301566005
"2008 - 2013 (Recovery)",10,10,5,144246.457031265
"2008 - 2013 (Recovery)",14,10,5,337251.43928871
"2008 - 2013 (Recovery)",16,10,5,87021.1272391361
"2008 - 2013 (Recovery)",20,10,5,85782.5652891177
"2008 - 2013 (Recovery)",10,14,5,139849.032231796
"2008 - 2013 (Recovery)",14,14,5,341931.262563795
"2008 - 2013 (Recovery)",16,14,5,84595.3345900988
"2008 - 2013 (Recovery)",20,14,5,105582.259081708
"2008 - 2013 (Recovery)",10,5,7,171833.482903217
"2008 - 2013 (Recovery)",14,5,7,327943.776558512
"2008 - 2013 (Recovery)",16,5,7,85459.6613046003
"2008 - 2013 (Recovery)",20,5,7,84877.7071647966
"2008 - 2013 (Recovery)",10,7,7,152482.783658384
"2008 - 2013 (Recovery)",14,7,7,343520.071398872
"2008 - 2013 (Recovery)",16,7,7,93065.2996805841
"2008 - 2013 (Recovery)",20,7,7,84694.4860936237
"2008 - 2013 (Recovery)",10,10,7,146455.323626597
"2008 - 2013 (Recovery)",14,10,7,356706.831151893
"2008 - 2013 (Recovery)",16,10,7,84871.6798193545
"2008 - 2013 (Recovery)",20,10,7,105630.511221782
"2008 - 2013 (Recovery)",10,14,7,118388.81292107
"2008 - 2013 (Recovery)",14,14,7,355152.377776335
"2008 - 2013 (Recovery)",16,14,7,80168.2525504082
"2008 - 2013 (Recovery)",20,14,7,105629.17336713
"2012 - 2017 (Bull Market)",10,5,3,157323.660851333
"2012 - 2017 (Bull Market)",14,5,3,183025.667190121
"2012 - 2017 (Bull Market)",16,5,3,83126.2247126436
"2012 - 2017 (Bull Market)",20,5,3,182618.570373666
"2012 - 2017 (Bull Market)",10,7,3,139077.332035025
"2012 - 2017 (Bull Market)",14,7,3,197223.840655099
"2012 - 2017 (Bull Market)",16,7,3,80555.7440767098
"2012 - 2017 (Bull Market)",20,7,3,121017.309986005
"2012 - 2017 (Bull Market)",10,10,3,145609.726648855
"2012 - 2017 (Bull Market)",14,10,3,175804.115573589
"2012 - 2017 (Bull Market)",16,10,3,67984.0963174224
"2012 - 2017 (Bull Market)",20,10,3,164368.465110402
"2012 - 2017 (Bull Market)",10,14,3,151167.747178962
"2012 - 2017 (Bull Market)",14,14,3,164656.786963252
"2012 - 2017 (Bull Market)",16,14,3,70990.9472144294
"2012 - 2017 (Bull Market)",20,14,3,167236.965383766
"2012 - 2017 (Bull Market)",10,5,5,165493.999428479
"2012 - 2017 (Bull Market)",14,5,5,132019.49615672
"2012 - 2017 (Bull Market)",16,5,5,74529.2714404249
"2012 - 2017 (Bull Market)",20,5,5,198775.429853394
"2012 - 2017 (Bull Market)",10,7,5,147556.405721725
"2012 - 2017 (Bull Market)",14,7,5,152776.196054705
