"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",10,30,0.01,0.25,120099.718573742
"2000 - 2005 (Dot-Com Bust)",15,30,0.01,0.25,128936.447137451
"2000 - 2005 (Dot-Com Bust)",20,30,0.01,0.25,139907.874943781
"2000 - 2005 (Dot-Com Bust)",25,30,0.01,0.25,150215.484925909
"2000 - 2005 (Dot-Com Bust)",30,30,0.01,0.25,222932.94404685
"2000 - 2005 (Dot-Com Bust)",35,30,0.01,0.25,199358.886065722
"2000 - 2005 (Dot-Com Bust)",40,30,0.01,0.25,109042.708758438
"2000 - 2005 (Dot-Com Bust)",10,35,0.01,0.25,52081.2347833578
"2000 - 2005 (Dot-Com Bust)",15,35,0.01,0.25,59674.7569303254
"2000 - 2005 (Dot-Com Bust)",20,35,0.01,0.25,63537.3140879793
"2000 - 2005 (Dot-Com Bust)",25,35,0.01,0.25,83089.5801775973
"2000 - 2005 (Dot-Com Bust)",30,35,0.01,0.25,81422.4307923913
"2000 - 2005 (Dot-Com Bust)",35,35,0.01,0.25,95940.1974675725
"2000 - 2005 (Dot-Com Bust)",40,35,0.01,0.25,147282.555510682
"2000 - 2005 (Dot-Com Bust)",10,40,0.01,0.25,43904.2889550591
"2000 - 2005 (Dot-Com Bust)",15,40,0.01,0.25,43904.2889550591
"2000 - 2005 (Dot-Com Bust)",20,40,0.01,0.25,94708.8696447951
"2000 - 2005 (Dot-Com Bust)",25,40,0.01,0.25,53791.111453277
"2000 - 2005 (Dot-Com Bust)",30,40,0.01,0.25,44633.8670488776
"2000 - 2005 (Dot-Com Bust)",35,40,0.01,0.25,32448.2872163907
"2000 - 2005 (Dot-Com Bust)",40,40,0.01,0.25,65031.9664082281
"2000 - 2005 (Dot-Com Bust)",10,45,0.01,0.25,141643.839654681
"2000 - 2005 (Dot-Com Bust)",15,45,0.01,0.25,141643.839654681
"2000 - 2005 (Dot-Com Bust)",20,45,0.01,0.25,137811.210779658
"2000 - 2005 (Dot-Com Bust)",25,45,0.01,0.25,115736.500116068
"2000 - 2005 (Dot-Com Bust)",30,45,0.01,0.25,106556.247741365
"2000 - 2005 (Dot-Com Bust)",35,45,0.01,0.25,83594.2060033648
"2000 - 2005 (Dot-Com Bust)",40,45,0.01,0.25,51010.1714755319
"2000 - 2005 (Dot-Com Bust)",10,50,0.01,0.25,151283.528812938
"2000 - 2005 (Dot-Com Bust)",15,50,0.01,0.25,140903.860442348
"2000 - 2005 (Dot-Com Bust)",20,50,0.01,0.25,144088.448467292
"2000 - 2005 (Dot-Com Bust)",25,50,0.01,0.25,119170.171356209
"2000 - 2005 (Dot-Com Bust)",30,50,0.01,0.25,149920.498194754
"2000 - 2005 (Dot-Com Bust)",35,50,0.01,0.25,269231.855304183
"2000 - 2005 (Dot-Com Bust)",40,50,0.01,0.25,303220.57145231
"2000 - 2005 (Dot-Com Bust)",10,55,0.01,0.25,62386.4763859956
"2000 - 2005 (Dot-Com Bust)",15,55,0.01,0.25,48400.410200526
"2000 - 2005 (Dot-Com Bust)",20,55,0.01,0.25,55233.7835945146
"2000 - 2005 (Dot-Com Bust)",25,55,0.01,0.25,61079.6738356058
"2000 - 2005 (Dot-Com Bust)",30,55,0.01,0.25,49889.0150090735
"2000 - 2005 (Dot-Com Bust)",35,55,0.01,0.25,52914.7827047412
"2000 - 2005 (Dot-Com Bust)",40,55,0.01,0.25,68428.5403326805
"2000 - 2005 (Dot-Com Bust)",10,60,0.01,0.25,284862.698334941
"2000 - 2005 (Dot-Com Bust)",15,60,0.01,0.25,284862.698334941
"2000 - 2005 (Dot-Com Bust)",20,60,0.01,0.25,284862.698334941
"2000 - 2005 (Dot-Com Bust)",25,60,0.01,0.25,132723.289632399
"2000 - 2005 (Dot-Com Bust)",30,60,0.01,0.25,143316.377324715
"2000 - 2005 (Dot-Com Bust)",35,60,0.01,0.25,120061.941900394
"2000 - 2005 (Dot-Com Bust)",40,60,0.01,0.25,102868.569894495
"2000 - 2005 (Dot-Com Bust)",10,65,0.01,0.25,78314.1062328529
"2000 - 2005 (Dot-Com Bust)",15,65,0.01,0.25,44700.1354343188
"2000 - 2005 (Dot-Com Bust)",20,65,0.01,0.25,51503.0626464987
"2000 - 2005 (Dot-Com Bust)",25,65,0.01,0.25,92866.8941802466
"2000 - 2005 (Dot-Com Bust)",30,65,0.01,0.25,96560.7572888661
"2000 - 2005 (Dot-Com Bust)",35,65,0.01,0.25,103002.037590386
"2000 - 2005 (Dot-Com Bust)",40,65,0.01,0.25,80221.2385206592
"2000 - 2005 (Dot-Com Bust)",10,70,0.01,0.25,93596.1636532939
"2000 - 2005 (Dot-Com Bust)",15,70,0.01,0.25,93596.1636532939
"2000 - 2005 (Dot-Com Bust)",20,70,0.01,0.25,81527.5205589879
"2000 - 2005 (Dot-Com Bust)",25,70,0.01,0.25,99754.9857970822
"2000 - 2005 (Dot-Com Bust)",30,70,0.01,0.25,106029.728190428
"2000 - 2005 (Dot-Com Bust)",35,70,0.01,0.25,105237.563291689
"2000 - 2005 (Dot-Com Bust)",40,70,0.01,0.25,87920.4618507189
"2000 - 2005 (Dot-Com Bust)",10,30,0.02,0.25,96370.5405665911
"2000 - 2005 (Dot-Com Bust)",15,30,0.02,0.25,104257.573201936
