"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
30,50,0.07,0.75,279404.263082853,128338.63938751,83.3333333333333,84793.6859534955
30,50,0.08,0.75,265577.486795518,116847.398478155,83.3333333333333,76705.4039964193
30,50,0.07,0.5,251044.01797908,115660.074403377,66.6666666666667,83033.1754342053
30,50,0.08,0.5,242577.576206674,119489.896750893,66.6666666666667,64765.606838319
30,50,0.06,0.75,239174.344852195,130003.367795597,66.6666666666667,79607.9963646972
25,50,0.06,0.75,235266.526457041,106576.966966059,50,57451.0530493566
10,35,0.09,0.5,234253.889783427,177996.993992575,100,121161.890191355
30,50,0.06,0.5,228930.410382503,111328.588969438,50,76439.9645412752
25,50,0.08,0.75,225486.284813239,110359.81657574,66.6666666666667,64680.0025523144
25,50,0.08,0.5,222795.221417516,102408.189564673,50,57493.6456279373
30,50,0.07,0.25,218853.201624248,109117.140500097,50,70712.8986651263
30,50,0.08,0.25,218820.174182942,123477.990666974,66.6666666666667,65563.3232921166
10,35,0.09,1,216251.712163773,226771.364371352,100,134291.707966866
25,50,0.06,0.5,211922.894748969,99579.4318416482,50,56477.8757359716
10,35,0.09,0.75,210736.500872992,193738.508841732,100,115177.023086592
25,50,0.07,0.75,209362.850342563,107657.084715766,83.3333333333333,57998.903266083
25,50,0.08,0.25,205007.641146736,99048.3670505086,50,52713.5201647398
20,50,0.04,0.25,199732.916045327,68101.7497130004,33.3333333333333,52780.3101129723
20,50,0.03,0.25,198803.678200218,73773.979270602,33.3333333333333,51861.6457996619
10,35,0.07,0.25,197071.64295547,171282.859160863,83.3333333333333,47095.8848717129
10,35,0.1,0.75,194932.211555232,185725.215851817,100,167357.406452757
25,50,0.07,0.5,194873.196327156,102814.78125629,50,57587.3621795833
10,35,0.08,0.75,193379.097702061,135296.039558424,83.3333333333333,91054.7948238671
10,35,0.1,1,193320.744198694,198642.538354981,100,114113.178324103
10,35,0.08,0.5,190207.528556865,129316.504684505,83.3333333333333,87670.5824024713
20,50,0.02,0.25,189598.16001554,86867.6696887383,33.3333333333333,45652.577964769
10,35,0.08,0.25,189586.966465477,115402.642960881,66.6666666666667,88441.881932261
30,50,0.06,0.25,189203.702477085,113950.078774419,50,57892.1179410517
20,50,0.06,0.5,187963.28576687,77499.2984070246,33.3333333333333,41458.8889142668
30,50,0.09,0.25,186933.167579281,113599.02746038,66.6666666666667,54666.1092685896
30,40,0.06,0.75,186697.132267882,180080.529649702,83.3333333333333,58270.5057200893
20,50,0.08,0.75,186510.703406603,114246.471859283,50,32064.9404471302
35,30,0.07,1,186406.365345161,131210.347884871,66.6666666666667,31174.9835233426
20,50,0.06,0.25,185389.317932626,73982.1689459678,33.3333333333333,50051.4441417771
30,40,0.06,0.5,184475.455482689,174929.033542459,83.3333333333333,55500.1778532257
30,50,0.1,0.25,184205.180107361,101686.806476108,50,65483.7326117679
10,35,0.1,0.25,181572.21511642,199427.523090217,100,104856.148927962
10,35,0.07,0.5,181443.534718316,130830.000216651,83.3333333333333,47510.5652617741
10,35,0.1,0.5,181070.001421462,179676.404306184,100,134605.038841977
15,35,0.09,0.5,180527.722259943,177996.993992575,83.3333333333333,95495.9122062027
30,40,0.06,0.25,179880.034796955,163669.28663044,83.3333333333333,51039.4736340257
