"Strategy","Stop_Loss_Pct","Total_Savings","Final_Equity","Net_Profit","ROI_pct"
"Single_Entry",1,250000,377045.417827859,127045.417827859,50.8181671311436
"Single_Entry",2,250000,377358.30662415,127358.30662415,50.9433226496601
"Single_Entry",3,250000,377145.693687634,127145.693687634,50.8582774750538
"Single_Entry",5,250000,364859.660036373,114859.660036373,45.9438640145492
"Single_Entry",7,250000,451073.633440788,201073.633440788,80.4294533763151
"Single_Entry",10,250000,488908.54397018,238908.54397018,95.5634175880718
"Single_Entry",15,250000,409623.534820437,159623.534820437,63.849413928175
"Single_Entry",20,250000,359227.013673568,109227.013673568,43.6908054694271
"Multiple_Entries",1,250000,514486.475578632,264486.475578632,105.794590231453
"Multiple_Entries",2,250000,514587.252781744,264587.252781744,105.834901112698
"Multiple_Entries",3,250000,509815.127093203,259815.127093203,103.926050837281
"Multiple_Entries",5,250000,559379.188736129,309379.188736129,123.751675494452
"Multiple_Entries",7,250000,438297.735178025,188297.735178025,75.3190940712099
"Multiple_Entries",10,250000,592233.955118763,342233.955118763,136.893582047505
"Multiple_Entries",15,250000,721031.537682235,471031.537682235,188.412615072894
"Multiple_Entries",20,250000,659005.442317915,409005.442317915,163.602176927166
